table,id,key,english,japanese
ActiveAbilities,2266028885917696,ActiveAbilities.ActiveAbility_105.Description,"Call down a fire storm for {0} seconds.

[Each second,]<bold> deal [{1}+{2}_Magic]<statcalc_damage> damage and inflict [{3}+{4}_Magic]<statcalc_burn> [Burn]<burn> to all enemies inside the fire storm.","{0}秒間、炎の嵐を呼び起こす。

[毎秒、]<bold>嵐の中にいるすべての敵へ[{1}+{2}_Magic]<statcalc_damage>ダメージを与え、[{3}+{4}_Magic]<statcalc_burn>の[炎上]<burn>を付与する。"
ActiveAbilities,2266028881723397,ActiveAbilities.ActiveAbility_105.Name,Fire Storm,炎の嵐
ActiveAbilities,2266028885917698,ActiveAbilities.ActiveAbility_106.Description,Deal [{0}+{1}_Attack]<statcalc_damage> damage and [Stun]<stun> all adjacent enemies for {2} seconds.,[{0}+{1}_Attack]<statcalc_damage>ダメージを与え、隣接するすべての敵を{2}秒間[スタン]<stun>させる。
ActiveAbilities,2266028885917697,ActiveAbilities.ActiveAbility_106.Name,Bash,強打
ActiveAbilities,2266028890112000,ActiveAbilities.ActiveAbility_107.Description,"Pull the furthest enemy to the Plant Monster and deal [{0}+{1}_Attack]<statcalc_damage> damage to it.

Plant Monsters start with [full Mana]<mana>.","最も遠い敵をプラントモンスターの元へ引き寄せ、[{0}+{1}_Attack]<statcalc_damage>ダメージを与える。

プラントモンスターは[マナが満タン]<mana>の状態で戦闘を開始する。"
ActiveAbilities,2266028885917699,ActiveAbilities.ActiveAbility_107.Name,Vine Snag,蔓の絡め取り
ActiveAbilities,2266028894306304,ActiveAbilities.ActiveAbility_108.Description,"Inflict [{0}+{1}_Crit]<statcalc_poison> [Poison]<poison> on the farthest Hero and [Stun]<stun> them for {2} Seconds.

Spiders start with [{3}% Mana]<mana>.","最も遠いヒーローへ[{0}+{1}_Crit]<statcalc_poison>の[毒]<poison>を付与し、{2}秒間[スタン]<stun>させる。

スパイダーは[マナ{3}%]<mana>の状態で戦闘を開始する。"
ActiveAbilities,2266028890112001,ActiveAbilities.ActiveAbility_108.Name,Ensnare,捕縛
ActiveAbilities,2266028894306306,ActiveAbilities.ActiveAbility_109.Description,"Ceate a trail of venom for {0} seconds.

[Each second,]<bold> deal [{1}+{2}_Attack]<statcalc_damage> damage and inflict [{3}+{4}_Crit]<statcalc_poison> [Poison]<poison> to all enemies in the trail of venom.","{0}秒間、猛毒の軌跡を作り出す。

[毎秒、]<bold>猛毒の軌跡にいるすべての敵へ[{1}+{2}_Attack]<statcalc_damage>ダメージを与え、[{3}+{4}_Crit]<statcalc_poison>の[毒]<poison>を付与する。"
ActiveAbilities,2266028894306305,ActiveAbilities.ActiveAbility_109.Name,Noxious Venom,猛毒
ActiveAbilities,2266028839780352,ActiveAbilities.ActiveAbility_11.Description,"Gain [{0}+{1}_MaxHealth]<statcalc_shield> [Shields]<shield>, then deal [{2}+{3}_MaxHealth+{4}_Defense+{5}_Magic]<statcalc_damage> damage and [Stun]<stun> enemies in front of Rowan for {6} seconds.",[{0}+{1}_MaxHealth]<statcalc_shield>の[シールド]<shield>を獲得する。その後、ローワンの前方にいる敵へ[{2}+{3}_MaxHealth+{4}_Defense+{5}_Magic]<statcalc_damage>ダメージを与え、{6}秒間[スタン]<stun>させる。
ActiveAbilities,2266028835586051,ActiveAbilities.ActiveAbility_11.Name,Fault Line,断層
ActiveAbilities,2266028894306308,ActiveAbilities.ActiveAbility_110.Description,Jump to the lowest-health enemy then deal [{0}+{1}_Attack]<statcalc_damage> damage to it.,HPが最も低い敵へ跳びかかり、[{0}+{1}_Attack]<statcalc_damage>ダメージを与える。
ActiveAbilities,2266028894306307,ActiveAbilities.ActiveAbility_110.Name,Bounce,跳躍
ActiveAbilities,2266028898500608,ActiveAbilities.ActiveAbility_111.Description,Deal [{0}+{1}_Attack]<statcalc_damage> damage and [Stun]<stun> all adjacent enemies for {2} seconds.,[{0}+{1}_Attack]<statcalc_damage>ダメージを与え、隣接するすべての敵を{2}秒間[スタン]<stun>させる。
ActiveAbilities,2266028894306309,ActiveAbilities.ActiveAbility_111.Name,Bash,強打
ActiveAbilities,2266028898500610,ActiveAbilities.ActiveAbility_112.Description,Deal [{0}+{1}_AttackSpeed+{2}_Attack]<statcalc_damage> damage to a random enemy.,ランダムな敵1体に[{0}+{1}_AttackSpeed+{2}_Attack]<statcalc_damage>ダメージを与える。
ActiveAbilities,2266028898500609,ActiveAbilities.ActiveAbility_112.Name,Wild Shot,乱れ撃ち
ActiveAbilities,2266028902694912,ActiveAbilities.ActiveAbility_113.Description,"Call down a frost storm for {0} seconds.

[Each second,]<bold> deal [{1}+{2}_Magic]<statcalc_damage> damage and inflict [{3}+{4}_Magic]<statcalc_frost> [Frost]<frost> to all enemies inside the frost storm.","{0}秒間、凍気の嵐を呼び起こす。

[毎秒、]<bold>嵐の中にいるすべての敵へ[{1}+{2}_Magic]<statcalc_damage>ダメージを与え、[{3}+{4}_Magic]<statcalc_frost>の[凍気]<frost>を付与する。"
ActiveAbilities,2266028898500611,ActiveAbilities.ActiveAbility_113.Name,Frost Storm,凍気の嵐
ActiveAbilities,2266028902694914,ActiveAbilities.ActiveAbility_114.Description,"Call down a fire storm for {0} seconds.

[Each second,]<bold> deal [{1}+{2}_Magic]<statcalc_damage> damage and inflict [{3}+{4}_Magic]<statcalc_burn> [Burn]<burn> to all enemies inside the fire storm.","{0}秒間、炎の嵐を呼び起こす。

[毎秒、]<bold>嵐の中にいるすべての敵へ[{1}+{2}_Magic]<statcalc_damage>ダメージを与え、[{3}+{4}_Magic]<statcalc_burn>の[炎上]<burn>を付与する。"
ActiveAbilities,2266028902694913,ActiveAbilities.ActiveAbility_114.Name,Fire Storm,炎の嵐
ActiveAbilities,9813957519589376,ActiveAbilities.ActiveAbility_115.Description,"The Snake spits venom at its target, creating a trail of venom for {0} seconds. Each second, the venom trail deals [{1}+{2}_Attack]<statcalc_damage> damage and inflicts [{3}+{4}_Crit]<statcalc_poison> [Poison]<poison>.",ヘビが対象へ毒を吐き、{0}秒間、猛毒の軌跡を作り出す。猛毒の軌跡は毎秒、[{1}+{2}_Attack]<statcalc_damage>ダメージを与え、[{3}+{4}_Crit]<statcalc_poison>の[毒]<poison>を付与する。
ActiveAbilities,9813957456674816,ActiveAbilities.ActiveAbility_115.Name,Noxious Venom,猛毒
ActiveAbilities,42635389067460608,ActiveAbilities.ActiveAbility_116.Description,"Inflict [{0}+{1}_Crit]<statcalc_poison> [Poison]<poison> on the farthest enemy and [Stun]<stun> them for {2} Seconds.

Spiders start with [{3}% Mana]<mana>.","最も遠い敵へ[{0}+{1}_Crit]<statcalc_poison>の[毒]<poison>を付与し、{2}秒間[スタン]<stun>させる。

スパイダーは[マナ{3}%]<mana>の状態で戦闘を開始する。"
ActiveAbilities,42635389050683392,ActiveAbilities.ActiveAbility_116.Name,Ensnare,捕縛
ActiveAbilities,42635389067460610,ActiveAbilities.ActiveAbility_117.Description,Jump to the lowest-health enemy then deal [{0}+{1}_Attack]<statcalc_damage> damage to it.,HPが最も低い敵へ跳びかかり、[{0}+{1}_Attack]<statcalc_damage>ダメージを与える。
ActiveAbilities,42635389067460609,ActiveAbilities.ActiveAbility_117.Name,Bounce,跳躍
ActiveAbilities,42635389067460612,ActiveAbilities.ActiveAbility_118.Description,"Call down a frost storm for {0} seconds.

[Each second,]<bold> deal [{1}+{2}_Magic]<statcalc_damage> damage and inflict [{3}+{4}_Magic]<statcalc_frost> [Frost]<frost> to all enemies inside the frost storm.","{0}秒間、凍気の嵐を呼び起こす。

[毎秒、]<bold>嵐の中にいるすべての敵へ[{1}+{2}_Magic]<statcalc_damage>ダメージを与え、[{3}+{4}_Magic]<statcalc_frost>の[凍気]<frost>を付与する。"
ActiveAbilities,42635389067460611,ActiveAbilities.ActiveAbility_118.Name,Frost Storm,凍気の嵐
ActiveAbilities,42635389067460614,ActiveAbilities.ActiveAbility_119.Description,"Call down a fire storm for {0} seconds.

[Each second,]<bold> deal [{1}+{2}_Magic]<statcalc_damage> damage and inflict [{3}+{4}_Magic]<statcalc_burn> [Burn]<burn> to all enemies inside the fire storm.","{0}秒間、炎の嵐を呼び起こす。

[毎秒、]<bold>嵐の中にいるすべての敵へ[{1}+{2}_Magic]<statcalc_damage>ダメージを与え、[{3}+{4}_Magic]<statcalc_burn>の[炎上]<burn>を付与する。"
ActiveAbilities,42635389067460613,ActiveAbilities.ActiveAbility_119.Name,Fire Storm,炎の嵐
ActiveAbilities,44096916278607873,ActiveAbilities.ActiveAbility_12.DataTrackingDescription,[Stall]<stall> [Triggered:]<bold> [totalStallTriggers]<globaldatatracking>,[忍耐]<stall>の[発動回数：]<bold> [totalStallTriggers]<globaldatatracking>
ActiveAbilities,2266028843974656,ActiveAbilities.ActiveAbility_12.Description,"[Taunt]<taunt> all enemies and gain [{0}+{1}_Defense+{2}_Magic]<statcalc_shield> [Shields]<shield> per [Stall]<stall> triggered this game. After {3} seconds, deal damage to all enemies targeting Skorn equal to {4}% of his remaining [Shield]<shield>.",すべての敵を[挑発]<taunt>し、このラン中に[忍耐]<stall>が発動した回数1回につき、[{0}+{1}_Defense+{2}_Magic]<statcalc_shield>の[シールド]<shield>を獲得する。{3}秒後、スコルンを攻撃対象にしているすべての敵へ、スコルンに残っている[シールド]<shield>の{4}%に相当するダメージを与える。
ActiveAbilities,2266028839780353,ActiveAbilities.ActiveAbility_12.Name,Come At Me!,かかってこい！
ActiveAbilities,2266028843974658,ActiveAbilities.ActiveAbility_13.Description,Swing a crushing axe to deal [{0}+{1}|{2}|{3}|{4}_Attack+{5}_Magic]<statcalc_damage> damage. Logan gains power by dealing damage with this ability.,大斧を振り抜き、[{0}+{1}|{2}|{3}|{4}_Attack+{5}_Magic]<statcalc_damage>ダメージを与える。このアビリティでダメージを与えるたび、ローガンは力を増していく。
ActiveAbilities,63373000857747456,ActiveAbilities.ActiveAbility_13.FullQuestDescription,"[Quest]<quest>: Deal [{0}, {1}, {2}] damage with this ability.",[クエスト]<quest>：このアビリティで[{0}、{1}、{2}]ダメージを与える。
ActiveAbilities,46269458024103936,ActiveAbilities.ActiveAbility_13.LastTierRewardDescription,Damage and [Stuns]<stun> all enemies in a medium area for 2.5 seconds.,中範囲内のすべての敵へダメージを与え、2.5秒間[スタン]<stun>させる。
ActiveAbilities,2266028843974657,ActiveAbilities.ActiveAbility_13.Name,Execution,処刑
ActiveAbilities,63373000891301888,ActiveAbilities.ActiveAbility_13.ShortQuestDescription,[Quest]<quest>: ({0}/3): Deal {1} damage with this ability.,[クエスト]<quest>：（{0}/3）このアビリティで{1}ダメージを与える。
ActiveAbilities,2266028848168960,ActiveAbilities.ActiveAbility_14.Description,"Blast a fireball at all enemies in Funke's [range]<attackrange>, dealing [{0}+{1}_Magic]<statcalc_damage> damage and inflicting [{2}+{3}_Magic]<statcalc_burn> [Burn]<burn>.",フンケの[射程]<attackrange>内にいるすべての敵へ火球を放ち、[{0}+{1}_Magic]<statcalc_damage>ダメージと[{2}+{3}_Magic]<statcalc_burn>の[炎上]<burn>を与える。
ActiveAbilities,2266028843974659,ActiveAbilities.ActiveAbility_14.Name,Wildfire,野火
ActiveAbilities,2266028852363264,ActiveAbilities.ActiveAbility_15.Description,"Gain [{0}+{1}_Rank]<statcalc_crit> [Crit]<crit> and [{2}+{3}_Rank]<statcalc_omnivamp> [Omnivamp]<omnivamp>, then deal [{4}+{5}_Attack+{6}_AttackSpeed+{7}_Magic]<statcalc_damage> damage to all enemies in Tilly's [range]<attackrange>.",[{0}+{1}_Rank]<statcalc_crit>の[クリティカル]<crit>と[{2}+{3}_Rank]<statcalc_omnivamp>の[オムニヴァンプ]<omnivamp>を獲得する。その後、ティリーの[射程]<attackrange>内にいるすべての敵へ[{4}+{5}_Attack+{6}_AttackSpeed+{7}_Magic]<statcalc_damage>ダメージを与える。
ActiveAbilities,2266028848168961,ActiveAbilities.ActiveAbility_15.Name,Pirouette,ピルエット
ActiveAbilities,2266028852363266,ActiveAbilities.ActiveAbility_16.Description,"Create a Blizzard for {0} seconds.

[Each second,]<bold> inflict [{1}+{2}_ManaRegen]<statcalc_frost> [Frost]<frost> and deal [{3}+{4}_Magic]<statcalc_damage> damage to enemies inside the Blizzard. [Shield]<shield> Heroes inside it for [{5}+{6}_Magic]<statcalc_shield>.","{0}秒間、ブリザードを発生させる。

[毎秒、]<bold>ブリザード内の敵へ[{1}+{2}_ManaRegen]<statcalc_frost>の[凍気]<frost>と[{3}+{4}_Magic]<statcalc_damage>ダメージを与える。さらに、ブリザード内のヒーローへ[{5}+{6}_Magic]<statcalc_shield>の[シールド]<shield>を付与する。"
ActiveAbilities,2266028852363265,ActiveAbilities.ActiveAbility_16.Name,Blizzard,ブリザード
ActiveAbilities,44096916278607874,ActiveAbilities.ActiveAbility_17.DataTrackingDescription,[Magic]<magic> Gained: [{0}]<datatracking>,[魔力]<magic>増加量：[{0}]<datatracking>
ActiveAbilities,2266028856557568,ActiveAbilities.ActiveAbility_17.Description,"Conjure celestial magic to deal [{0}+{1}|{2}|{3}|{4}_Magic]<statcalc_damage> damage.

On [kill,]<bold> permanently gain [{5}+{6}_Rank]<statcalc_magic> [Magic]<magic>.

On [Crit,]<crit> [Stun]<stun> all enemies for [.{7}+.{8}_Rank]<statcalc_stun> seconds.","天上の魔力を呼び起こし、[{0}+{1}|{2}|{3}|{4}_Magic]<statcalc_damage>ダメージを与える。

[敵撃破時、]<bold>[{5}+{6}_Rank]<statcalc_magic>の[魔力]<magic>を恒久的に獲得する。

[クリティカル時、]<crit>すべての敵を[.{7}+.{8}_Rank]<statcalc_stun>秒間[スタン]<stun>させる。"
ActiveAbilities,2266028852363267,ActiveAbilities.ActiveAbility_17.Name,Starfall,星落とし
ActiveAbilities,2266028856557570,ActiveAbilities.ActiveAbility_18.Description,"Enter a rage, gaining [{0}+{1}_MaxHealth+{2}_Magic]<statcalc_maxhp> [Max HP]<maxhp>, [{3}+{4}_Rank]<statcalc_attackspeed> [Attack Speed]<attackspeed>, and [{5}+{6}_Rank]<statcalc_omnivamp> [Omnivamp]<omnivamp>. This ability stacks.",激昂し、[{0}+{1}_MaxHealth+{2}_Magic]<statcalc_maxhp>の[最大HP]<maxhp>、[{3}+{4}_Rank]<statcalc_attackspeed>の[攻撃速度]<attackspeed>、[{5}+{6}_Rank]<statcalc_omnivamp>の[オムニヴァンプ]<omnivamp>を獲得する。このアビリティの効果は累積する。
ActiveAbilities,2266028856557569,ActiveAbilities.ActiveAbility_18.Name,Rampage,暴走
ActiveAbilities,2266028810420225,ActiveAbilities.ActiveAbility_2.Description,Fire an arrow at the farthest enemy. It deals [{0}+{1}_Attack+{2}_Magic]<statcalc_damage> damage and gains [{3}+{4}_Crit+{5}_Rank]<statcalc_crit> additional [Crit]<crit>.,最も遠い敵へ矢を放つ。[{0}+{1}_Attack+{2}_Magic]<statcalc_damage>ダメージを与え、追加で[{3}+{4}_Crit+{5}_Rank]<statcalc_crit>の[クリティカル]<crit>を得る。
ActiveAbilities,2266028810420224,ActiveAbilities.ActiveAbility_2.Name,Killshot,致命の一矢
ActiveAbilities,2266028860751872,ActiveAbilities.ActiveAbility_20.Description,Loose a volley of {0} arrows at nearby enemies. Each arrow deals [{1}+{2}_Attack+{3}_Magic]<statcalc_damage> damage and inflicts [{4}+{5}_AttackSpeed]<statcalc_frost> [Frost]<frost>.,周囲の敵へ{0}本の矢を一斉に放つ。矢1本につき[{1}+{2}_Attack+{3}_Magic]<statcalc_damage>ダメージと[{4}+{5}_AttackSpeed]<statcalc_frost>の[凍気]<frost>を与える。
ActiveAbilities,2266028856557573,ActiveAbilities.ActiveAbility_20.Name,Snowpiercer,雪穿ち
ActiveAbilities,2266028923666432,ActiveAbilities.ActiveAbility_20101.Description,Deal [{0}+{1}_Magic]<statcalc_magic> damage and inflict [{2}+{3}_Magic]<statcalc_burn> [Burn]<burn> to all enemies.,すべての敵へ[{0}+{1}_Magic]<statcalc_magic>ダメージを与え、[{2}+{3}_Magic]<statcalc_burn>の[炎上]<burn>を付与する。
ActiveAbilities,2266028919472131,ActiveAbilities.ActiveAbility_20101.Name,Flame Breath,炎のブレス
ActiveAbilities,2266028923666434,ActiveAbilities.ActiveAbility_20102.Description,Deal [{0}+{1}_Magic]<statcalc_magic> damage and inflict [{2}+{3}_Magic]<statcalc_frost> [Frost]<frost> to all enemies.,すべての敵へ[{0}+{1}_Magic]<statcalc_magic>ダメージを与え、[{2}+{3}_Magic]<statcalc_frost>の[凍気]<frost>を付与する。
ActiveAbilities,2266028923666433,ActiveAbilities.ActiveAbility_20102.Name,Frost Breath,凍気のブレス
ActiveAbilities,2266028927860736,ActiveAbilities.ActiveAbility_20103.Description,Deal [{0}+{1}_Magic]<statcalc_magic> damage and inflict [{2}+{3}_Magic]<statcalc_poison> [Poison]<poison> to all enemies.,すべての敵へ[{0}+{1}_Magic]<statcalc_magic>ダメージを与え、[{2}+{3}_Magic]<statcalc_poison>の[毒]<poison>を付与する。
ActiveAbilities,2266028923666435,ActiveAbilities.ActiveAbility_20103.Name,Poison Breath,毒のブレス
ActiveAbilities,2266028927860738,ActiveAbilities.ActiveAbility_20104.Description,Gain [{0}+{1}_MaxHealth]<statcalc_shield> [Shields]<shield> and inflict [{2}+{3}_Attack]<statcalc_burn> [Burn]<burn> on all enemies.,[{0}+{1}_MaxHealth]<statcalc_shield>の[シールド]<shield>を獲得し、すべての敵へ[{2}+{3}_Attack]<statcalc_burn>の[炎上]<burn>を付与する。
ActiveAbilities,2266028927860737,ActiveAbilities.ActiveAbility_20104.Name,Anger,憤怒
ActiveAbilities,2266028927860740,ActiveAbilities.ActiveAbility_20105.Description,Deal [{0}+{1}_Attack]<statcalc_damage> damage and inflict [{2}+{3}_Attack]<statcalc_poison> [Poison]<poison> per remaining head.,残っている頭1つにつき、[{0}+{1}_Attack]<statcalc_damage>ダメージと[{2}+{3}_Attack]<statcalc_poison>の[毒]<poison>を与える。
ActiveAbilities,2266028927860739,ActiveAbilities.ActiveAbility_20105.Name,Venomous Bite,毒牙
ActiveAbilities,44096916278607875,ActiveAbilities.ActiveAbility_21.DataTrackingDescription,[Rush]<rush> [Triggered:]<bold> [totalRushTriggers]<globaldatatracking>,[速攻]<rush>の[発動回数：]<bold> [totalRushTriggers]<globaldatatracking>
ActiveAbilities,2266028860751874,ActiveAbilities.ActiveAbility_21.Description,"Channel flames to deal [{0}+{1}_MaxHealth+{2}_Magic]<statcalc_damage> damage, inflict [{3} Burn]<burn> per [Rush]<rush> triggered this game, and [Stun]<stun> all surrounding enemies for {4} seconds.",炎を集中させて[{0}+{1}_MaxHealth+{2}_Magic]<statcalc_damage>ダメージを与え、このラン中に[速攻]<rush>が発動した回数1回につき[{3}の炎上]<burn>を付与する。さらに、周囲のすべての敵を{4}秒間[スタン]<stun>させる。
ActiveAbilities,2266028860751873,ActiveAbilities.ActiveAbility_21.Name,Searing Mantra,灼熱の真言
ActiveAbilities,2266028860751876,ActiveAbilities.ActiveAbility_22.Description,"Create a poison cloud around Pimenta for {0} seconds.

[Each second,]<bold> deal [{1}+{2}_Magic+{3}_Defense]<statcalc_damage> damage and inflict [{4}+{5}_Defense]<statcalc_poison> [Poison]<poison> to enemies in the poison cloud.

[Each second]<bold> after [Stall ({6}),]<stall> gain [{7}+{8}_Rank]<statcalc_heal> [HP/S]<hp/s> per enemy in the poison cloud.","ピメンタの周囲に{0}秒間、毒雲を発生させる。

[毎秒、]<bold>毒雲内の敵へ[{1}+{2}_Magic+{3}_Defense]<statcalc_damage>ダメージを与え、[{4}+{5}_Defense]<statcalc_poison>の[毒]<poison>を付与する。

[忍耐（{6}）]<stall>の発動後は[毎秒、]<bold>毒雲内の敵1体につき[{7}+{8}_Rank]<statcalc_heal>の[秒間HP回復]<hp/s>を獲得する。"
ActiveAbilities,2266028860751875,ActiveAbilities.ActiveAbility_22.Name,Pepper Spray,ペッパースプレー
ActiveAbilities,50998647205126144,ActiveAbilities.ActiveAbility_23.DataTrackingDescription,[Current]<bold> [Permafrost]<bold> [Stacks:]<bold> [2]<datatracking>,[現在の]<bold> [永久凍土]<bold> [スタック：]<bold> [2]<datatracking>
ActiveAbilities,2266028864946176,ActiveAbilities.ActiveAbility_23.Description,"Sal empowers her attacks, causing them to also hit the nearest enemy to Sal's target, dealing [{0}+{1}_Magic]<statcalc_damage> [bonus damage]<damage> and inflicting [{2}+{3}_Rank]<statcalc_frost> [Frost]<frost>. This ability stacks.",サウが自身の攻撃を強化する。攻撃は対象に最も近い別の敵にも命中し、[{0}+{1}_Magic]<statcalc_damage>の[追加ダメージ]<damage>と[{2}+{3}_Rank]<statcalc_frost>の[凍気]<frost>を与える。このアビリティの効果は累積する。
ActiveAbilities,2266028860751877,ActiveAbilities.ActiveAbility_23.Name,Permafrost,永久凍土
ActiveAbilities,44096916278607876,ActiveAbilities.ActiveAbility_24.DataTrackingDescription,[Shards]<shard> [Generated:]<generate> [{0}]<datatracking>,[シャード]<shard>の[生成数：]<generate> [{0}]<datatracking>
ActiveAbilities,2266028864946178,ActiveAbilities.ActiveAbility_24.Description,"Gain [{0}+{1}_Crit]<statcalc_omnivamp> [Omnivamp]<omnivamp>, then deal [{2}+{3}_Magic+{4}_Omnivamp]<statcalc_damage> damage.

On [kill,]<bold> gain [{5}+{6}_Rank]<statcalc_shard> [Shards]<shard>.","[{0}+{1}_Crit]<statcalc_omnivamp>の[オムニヴァンプ]<omnivamp>を獲得した後、[{2}+{3}_Magic+{4}_Omnivamp]<statcalc_damage>ダメージを与える。

[敵撃破時、]<bold>[{5}+{6}_Rank]<statcalc_shard>の[シャード]<shard>を獲得する。"
ActiveAbilities,2266028864946177,ActiveAbilities.ActiveAbility_24.Name,Devour,貪食
ActiveAbilities,2266028873334784,ActiveAbilities.ActiveAbility_28.Description,"Charge up a mighty attack, gaining [{0}+{1}_Attack+{2}_Magic]<statcalc_shield> [Shields]<shield>. After {3} seconds, deal [{4}+{5}_Attack]<statcalc_damage> damage plus [bonus damage]<damage> equal to Kai's [remaining Shields]<shield> to surrounding enemies.",力を溜め、[{0}+{1}_Attack+{2}_Magic]<statcalc_shield>の[シールド]<shield>を獲得する。{3}秒後、[{4}+{5}_Attack]<statcalc_damage>ダメージに加え、カイの[残りシールド]<shield>と同じ量の[追加ダメージ]<damage>を周囲の敵へ与える。
ActiveAbilities,2266028869140485,ActiveAbilities.ActiveAbility_28.Name,Resolute Strike,不屈の一撃
ActiveAbilities,2266028873334786,ActiveAbilities.ActiveAbility_29.Description,"Bless the lowest [% Max HP]<maxhp> Hero, applying [{0}+{1}|{2}|{3}|{4}_Magic]<statcalc_shield> [Shields]<shield> for [{5}+{6}_ManaRegen]<statcalc_manaregen> seconds and [healing]<heal> them for half that amount.

After [Stall ({7}),]<stall> this ability can target and resurrect dead Heroes.","[最大HPに対する現在HPの割合]<maxhp>が最も低いヒーローを祝福し、[{0}+{1}|{2}|{3}|{4}_Magic]<statcalc_shield>の[シールド]<shield>を[{5}+{6}_ManaRegen]<statcalc_manaregen>秒間付与し、付与したシールド量の半分だけHPを[回復]<heal>する。

[忍耐（{7}）]<stall>の発動後は、倒れたヒーローも対象にして復活させられる。"
ActiveAbilities,2266028873334785,ActiveAbilities.ActiveAbility_29.Name,Salvation,救済
ActiveAbilities,2266028818808832,ActiveAbilities.ActiveAbility_3.Description,Unleash a {0}-punch combo. Each punch counts as an [auto attack]<bold> that deals [{1}+{2}_Attack+{3}_Magic]<statcalc_damage>[% damage]<damage> (Max: {5}%) and gives Reyna [lasting]<lasting> [Shields]<shield> equal to {4}% of the damage dealt.,{0}連続のパンチを繰り出す。各パンチは[通常攻撃]<bold>として扱われ、[{1}+{2}_Attack+{3}_Magic]<statcalc_damage>[%ダメージ]<damage>（最大：{5}%）を与える。さらにレイナは、与えたダメージの{4}%に相当する[永続]<lasting>[シールド]<shield>を獲得する。
ActiveAbilities,2266028814614528,ActiveAbilities.ActiveAbility_3.Name,Triple Threat,三重の脅威
